872,3
43.8569,4.4064,1016.2
56.3265,-3.7273,995.1
55.735,24.417,1015.5
60.3,-4.2,997.8
57.85,45.7667,1020.5
54.23,-10.0,1002.2
56.7068,8.2149,1012.2
69.2022,35.1069,1019.8
35.4981,12.6183,1017.0
60.7222,21.0268,1015.8
37.7783,-0.8059,1016.4
44.8489,24.8658,1012.3
52.5468,14.5452,1017.0
36.8253,21.7044,1012.5
59.2752,38.0178,1020.0
46.1667,3.3987,1012.5
38.9053,16.5953,1015.8
46.4408,30.7703,1012.2
66.4053,43.2672,1020.3
67.5508,33.3622,1019.6
42.0667,48.3,1010.2
51.2409,33.1871,1015.8
66.9035,13.646,1008.6
40.7149,-7.8959,1013.4
65.7017,11.8562,1009.3
57.6667,18.35,1017.2
66.1716,29.1365,1019.1
49.28,-24.25,1020.4
66.8872,18.0197,1013.5
53.7167,40.1167,1019.9
47.0439,5.4272,1013.1
66.7728,23.963,1017.0
59.1414,26.2308,1017.6
55.3333,42.1167,1020.7
51.8333,41.4833,1019.0
68.0628,24.0334,1017.6
57.2,39.4167,1020.4
56.35,30.6167,1017.6
53.6022,24.0556,1014.6
44.0835,5.055,1015.8
63.9,38.1167,1021.4
48.1703,17.2075,1017.3
39.2436,9.06,1017.2
55.3224,11.3879,1015.6
43.25,45.7167,1009.9
50.0833,45.3667,1017.4
37.1,25.3833,1011.5
44.9833,41.1167,1008.9
71.0888,28.217,1017.8
62.1133,9.2862,1007.6
57.3828,10.3349,1013.8
44.8833,37.2833,1010.2
56.7558,9.5067,1013.1
38.9667,24.4833,1013.2
59.45,32.0333,1019.5
37.74,-25.67,1023.0
44.78,17.22,1017.8
39.8394,-7.4787,1012.8
41.2583,36.5561,1011.5
39.3461,8.9675,1016.1
45.85,40.0833,1010.2
43.3533,-5.8739,1015.1
62.5773,11.3518,1009.9
39.8844,-4.0453,1010.7
45.0386,21.7103,1017.0
59.0,-3.0,998.5
59.5,34.7,1019.3
47.2121,26.3792,1013.8
51.8957,0.4523,1004.9
41.0606,14.0789,1017.1
61.887,12.0462,1008.5
43.56,-5.7006,1015.2
55.5167,35.0333,1018.2
51.8,-8.25,1002.5
44.8986,2.4211,1012.3
53.811,-1.8653,997.4
68.0039,35.0308,1019.2
48.767,30.2328,1013.2
40.6311,8.2886,1017.3
57.0167,28.9,1018.0
44.55,19.2333,1017.8
63.8069,20.8644,1015.8
63.5833,45.6333,1018.9
63.86,-21.15,1011.3
52.5,48.0833,1015.4
48.5889,-2.0758,1009.8
66.8166,28.6883,1019.1
49.2325,18.6142,1016.4
63.1939,14.5,1009.8
61.5428,45.9365,1019.1
43.15,24.7,1013.3
51.8603,-1.6915,1002.1
57.0167,28.9,1018.0
40.529,22.9703,1012.5
68.2453,14.6693,1010.2
70.2122,28.159,1017.6
61.8293,6.1043,1007.6
40.9228,38.3878,1012.2
40.9228,38.3878,1012.2
64.126,-21.902,1012.1
63.78,-18.06,1008.6
41.2742,-7.7171,1013.1
48.3247,4.02,1011.6
46.7883,22.1122,1016.7
67.1682,32.3525,1020.0
65.658,-20.293,1014.5
53.5333,33.75,1018.2
66.2618,22.8428,1016.9
36.2167,1.3333,1011.5
46.6936,-2.3303,1014.2
58.9333,46.7667,1019.5
61.0168,36.4557,1020.2
55.3836,12.8167,1017.0
47.0697,14.4247,1015.4
63.2826,12.1218,1010.4
55.8697,26.6175,1016.2
43.366,-8.4215,1017.5
55.298,14.7718,1018.0
58.8167,44.3167,1020.8
41.5381,15.7139,1015.6
43.9,35.8,1012.0
52.1666,22.2333,1016.9
47.0425,37.4844,1010.9
68.605,31.8023,1018.6
49.8075,23.9651,1015.9
54.0851,-4.6307,994.3
63.436,-20.276,1010.0
71.3,22.3,1014.6
45.35,42.85,1009.6
52.3813,13.0622,1016.3
39.4714,-6.3389,1012.0
55.515,25.59,1015.7
44.8153,11.6125,1017.5
37.1608,38.7864,1003.4
66.0513,17.8396,1013.7
70.2452,19.4997,1011.2
43.4333,39.9,1010.7
57.5333,34.55,1018.5
37.9258,16.0606,1015.3
57.41,2.85,1003.8
64.251,-15.213,1007.4
63.5833,45.6333,1018.9
68.442,22.4436,1015.8
65.8678,20.1542,1014.7
65.3762,41.8753,1020.1
38.1997,15.5489,1016.9
63.9,38.1167,1021.4
39.9308,9.7131,1016.7
57.2,2.1,1003.2
54.045,-1.2496,998.1
54.6333,39.7,1020.6
57.1,-2.1,997.6
55.3333,42.1167,1020.7
40.1576,-8.4685,1016.4
60.2,-1.2,1000.3
51.9303,15.5244,1016.9
51.4,-7.9,1002.6
46.1833,45.35,1012.9
36.2833,6.6167,1013.9
44.8153,11.6125,1017.5
48.3647,7.828,1013.5
54.3667,41.9333,1020.5
49.7999,19.0,1017.3
53.1833,48.4,1018.2
61.4194,23.6226,1017.1
65.4667,39.7333,1021.0
52.4675,13.4021,1016.6
61.0575,28.2087,1019.2
49.928,36.2824,1014.7
57.8,35.9,1018.9
52.7943,-2.6633,998.0
67.022,27.2184,1018.4
53.4944,29.3119,1015.1
59.4423,19.5022,1016.0
66.8874,18.0198,1013.5
55.2075,11.8605,1015.9
38.5581,44.9953,1000.8
44.3914,27.8389,1012.1
53.05,21.5333,1016.5
57.85,45.7667,1020.5
37.7444,-25.6969,1023.2
45.995,18.235,1017.6
53.1833,48.4,1018.2
53.3881,7.2287,1012.7
50.15,48.55,1016.5
62.1,32.3833,1020.3
68.4202,18.168,1011.2
62.2305,7.4218,1007.2
53.3552,32.0693,1016.8
68.6083,31.8039,1018.6
57.5,38.3,1019.5
61.7027,17.5216,1013.0
51.7,-4.9,1000.4
36.9732,-25.1728,1023.2
39.485,-0.4747,1016.1
47.4974,9.2347,1014.1
44.8808,22.4164,1014.7
55.0558,15.0953,1018.0
62.5228,17.4494,1012.9
63.8213,24.1632,1017.4
58.8167,44.3167,1020.8
46.3628,17.8739,1017.8
61.6794,40.1953,1020.5
62.1333,39.3,1020.4
47.2,38.9,1011.9
36.3025,30.1458,1004.5
39.6167,27.9167,1010.5
41.2323,-8.6791,1017.1
41.4064,41.4331,1011.7
44.0872,9.985,1018.0
58.0167,31.3167,1018.7
53.1083,23.1722,1015.3
36.1833,37.2,1002.8
60.9845,40.2545,1020.6
53.3,-6.2,997.6
47.7955,10.0324,1014.0
58.4289,12.7139,1015.0
48.0536,33.2111,1012.5
58.109,6.5675,1009.6
60.4292,15.5008,1013.5
47.4292,19.1822,1016.6
57.1333,45.1667,1019.9
47.9,48.8,1013.2
57.7833,23.2589,1017.3
49.1872,37.2895,1013.9
37.1608,38.7864,1003.4
62.1,42.9,1020.1
58.9333,46.7667,1019.5
60.6764,13.7072,1012.4
44.7406,27.2945,1012.9
43.9097,-0.5003,1013.8
49.5278,25.6912,1014.9
63.975,-22.588,1013.1
59.2219,12.0781,1014.0
62.657,29.6361,1020.3
50.6025,26.1528,1015.2
70.6807,23.6772,1014.3
47.5833,41.1,1013.6
40.2995,-3.7224,1011.4
55.7667,38.6833,1019.4
63.3781,28.6617,1019.8
61.8923,27.8853,1019.6
50.9,15.8,1016.9
51.3667,42.0833,1019.0
37.9142,12.4914,1017.1
64.7,43.3833,1019.3
55.0501,-2.553,994.9
41.8039,-6.7428,1010.9
55.6,40.65,1020.8
58.8843,5.637,1007.9
61.5308,9.4023,1008.2
60.7167,33.55,1019.8
62.2333,45.0167,1019.2
62.0462,14.4069,1010.2
68.7817,19.7017,1012.8
52.2139,27.8694,1015.9
57.7583,14.0692,1015.3
46.1,19.77,1017.3
53.6144,4.9603,1010.4
69.5576,20.4153,1010.6
43.3064,-2.0411,1015.1
65.5444,22.1281,1017.0
42.4383,-8.6158,1016.4
38.7333,48.8333,1007.6
52.3439,-3.9468,999.1
63.0823,25.8586,1018.7
45.1592,17.9953,1017.3
59.8086,22.9125,1016.9
40.7167,46.4167,1006.3
64.0106,44.4494,1019.5
40.9667,28.8167,1012.6
60.3779,22.0964,1016.1
42.0841,-0.3262,1012.7
46.2647,21.6628,1016.6
54.4167,34.0167,1020.0
36.1333,8.7,1013.7
52.1222,26.1119,1015.1
43.3944,-1.6864,1015.5
47.8247,3.5497,1011.9
44.13,15.2058,1016.0
37.2094,28.3669,1003.7
65.2667,-13.5833,1006.7
50.1,-0.7,1007.5
48.1628,14.0714,1016.8
57.9136,22.0578,1016.9
57.3578,-7.3838,997.7
56.64,47.7792,1019.4
58.1,38.6833,1019.9
58.3,48.35,1019.1
60.5,-4.2,998.6
35.85,14.4833,1016.2
35.5286,24.1453,1010.2
58.2,8.0767,1012.2
61.4656,23.7468,1017.0
55.3118,-3.2054,994.4
54.1333,45.25,1020.4
59.1413,26.2308,1017.6
58.7497,26.415,1017.5
36.3825,33.9372,1005.3
41.2322,-8.6792,1017.1
48.9793,6.2432,1012.3
53.4917,28.1411,1016.0
64.4799,21.5754,1016.1
47.1172,20.2311,1016.5
42.0667,48.3,1010.2
52.29,-6.49,1000.1
66.3369,36.0169,1020.8
35.4,35.9333,1005.5
40.8986,9.5178,1017.3
47.6333,43.15,1013.2
45.2628,15.2222,1017.2
49.7,-3.5,1005.6
49.2478,28.6042,1013.2
41.1,20.8167,1014.1
50.95,46.9667,1017.8
68.4339,27.4441,1017.8
49.6094,34.5446,1014.5
36.3825,33.9372,1005.3
45.7711,21.2581,1016.3
37.9319,41.9353,1003.0
41.1497,1.1789,1016.1
40.1239,32.9992,1005.7
59.17,2.49,1004.2
64.5532,39.7593,1021.7
40.7328,31.6022,1008.5
57.8464,27.0194,1017.4
46.2475,6.1277,1013.7
52.0813,6.9409,1013.6
63.1512,16.1699,1010.5
64.2168,27.7519,1019.1
66.7628,12.486,1008.2
65.0255,35.6908,1021.5
65.268,-13.576,1006.7
38.9517,-1.8625,1011.9
51.7,39.2167,1017.8
35.13,33.38,1004.4
69.0485,27.7568,1018.0
