54,3
69.2022,35.1069,1019.8
49.28,-24.25,1020.4
63.9,38.1167,1021.4
57.3828,10.3349,1013.8
37.74,-25.67,1023.0
61.887,12.0462,1008.5
51.8603,-1.6915,1002.1
57.1,-2.1,997.6
46.1833,45.35,1012.9
49.7999,19.0,1017.3
68.4202,18.168,1011.2
62.2305,7.4218,1007.2
36.3025,30.1458,1004.5
37.9142,12.4914,1017.1
68.7817,19.7017,1012.8
44.13,15.2058,1016.0
65.2667,-13.5833,1006.7
47.1172,20.2311,1016.5
35.4,35.9333,1005.5
49.7,-3.5,1005.6
69.0485,27.7568,1018.0
67.1281,39.6664,1021.1
36.711,5.069,1013.8
37.0,35.4167,1004.1
62.0231,-6.7647,1001.2
68.6553,43.2875,1020.2
54.3776,10.1424,1014.0
52.8,41.3333,1019.5
70.75,-22.65,1013.0
36.9731,-25.1728,1023.2
70.4844,-21.9511,1013.1
35.1833,-3.85,1015.4
46.9983,3.1127,1012.5
42.7372,2.8728,1015.8
69.3073,16.1312,1009.8
48.2175,9.9097,1013.8
50.9,-24.3,1018.6
37.9333,47.5333,1005.3
70.9394,-8.669,1006.1
48.7097,11.2097,1015.4
55.2528,30.2492,1017.4
35.9,-16.6,1022.5
50.8329,24.3167,1014.9
59.35,30.1333,1019.0
35.1667,8.8333,1013.5
35.015,-1.45,1014.2
65.703,-14.821,1010.4
48.3,-13.9,1015.2
54.1,35.35,1020.3
43.3831,6.3861,1016.5
63.84,-2.83,999.6
63.45,48.9167,1017.6
50.2178,-5.3266,1004.4
65.642,-16.121,1011.7
